,temp,pressure,humidity,rain_1h,play
2012,273.0,1005.0,86.0,0.0,1.0
2019,272.0,1003.0,92.0,0.0,0.0
2023,274.0,1004.0,86.0,0.0,1.0
2024,275.0,1003.0,86.0,0.0,1.0
2026,276.0,1002.0,80.0,0.0,0.0
2027,276.0,1002.0,80.0,5.0,0.0
2028,276.0,1003.0,86.0,24.0,0.0
2035,275.0,1004.0,93.0,0.0,1.0
2038,274.0,1004.0,93.0,0.0,1.0
2039,273.0,1004.0,93.0,0.0,1.0
2040,272.0,1004.0,100.0,0.0,0.0
2046,273.0,1004.0,100.0,0.0,0.0
2050,273.0,1005.0,100.0,0.0,0.0
2053,274.0,1006.0,100.0,0.0,0.0
2054,273.0,1007.0,100.0,0.0,0.0
2055,273.0,1007.0,100.0,0.0,0.0
2063,273.0,1009.0,100.0,0.0,0.0
2065,273.0,1010.0,100.0,0.0,0.0
2070,272.0,1011.0,100.0,0.0,0.0
2072,273.0,1012.0,100.0,0.0,0.0
2073,273.0,1012.0,100.0,0.0,1.0
